topic,word,pronunciation,word_type,meaning,example_en,example_vi,image_url,audio_url
124,access,/ˈækses/,n,"quyền truy cập, sự tiếp cận",I cannot easily get access to the Internet.,Tôi không thể dễ dàng có được quyền truy cập vào Internet.,https://audio.tudienkala.com/data/cache/images/300x225/a/c/access1.jpg,https://audio.tudienkala.com/audio/a/c/access.mp3
124,account,/əˈkaʊnt/,n,tài khoản,Your account is invalid.,Tài khoản của bạn không có hiệu lực.,https://audio.tudienkala.com/data/cache/images/300x225/a/c/account1.png,https://audio.tudienkala.com/audio/a/c/account-.mp3
124,achievement,/ə'tʃi:vmənt/,n,"thành tích, thành tựu",He has gained a lot of achievements in the last year.,Anh ấy đã đạt được khá nhiều thành tích trong năm vừa qua.,https://audio.tudienkala.com/data/cache/images/300x225/a/c/achievement1.png,https://audio.tudienkala.com/audio/a/c/achievement.mp3
124,address,/ə'dres/,v,"nhằm vào, trình bày",Marco's business plan addresses the needs of small business owners.,Kế hoạch kinh doanh của Marco nhằm vào nhu cầu của những chủ doanh nghiệp nhỏ.,https://audio.tudienkala.com/data/images_example/300x225/m/a/marcos_bus_ex1_56248cf37f8b9af80c011d69.jpg,https://audio.tudienkala.com/audio/a/d/address.mp3
124,agent,/ˈeɪdʒənt/,n,đại lý,A travel agent can usually find you the best deals on tickets and hotels.,Đại lý du lịch thường có thể tìm cho bạn những giao dịch tốt nhất vè vé và khách sạn.,https://audio.tudienkala.com/data/images_example/300x225/a/_/a_travel_a_ex1_56248d167f8b9a040dc66154.jpg,https://audio.tudienkala.com/audio/a/g/agent.mp3
124,aid,/eɪd/,v,"hỗ trợ, giúp đỡ",Russia has sent money and machinery as aid to the region hit by the storms.,Nga đã gửi tiền và máy móc để hỗ trợ cho vùng bị ảnh hưởng bởi bão.,https://audio.tudienkala.com/data/cache/images/300x225/a/i/aid2.jpg,https://audio.tudienkala.com/audio/a/i/aid.mp3
124,analysis,/əˈnæləsɪs/,n,sự phân tích; kết quả phân tích,The book is an analysis of poverty and its causes.,Cuốn sách này phân tích về cái nghèo và nguyên nhân của nó.,https://audio.tudienkala.com/data/cache/images/300x225/a/n/analysis1.jpg,https://audio.tudienkala.com/audio/a/n/analysis.mp3
124,application,/ˌæplɪˈkeɪʃən/,n,"sự xin việc, ứng tuyển",Susan is writing a letter of application.,Susan đang viết thư xin việc.,https://audio.tudienkala.com/data/cache/images/300x225/a/p/application1.jpg,https://audio.tudienkala.com/audio/a/p/application.mp3
124,apply,/ə'plai/,v,"nộp, ứng tuyển",The college graduate applied for three jobs and received three offers.,Người tốt nghiệp cao đẳng đã xin việc ở 3 nơi và nhận được 3 lời mời chào.,https://audio.tudienkala.com/data/cache/images/300x225/a/p/apply1.jpg,https://audio.tudienkala.com/audio/a/p/apply.mp3
124,appreciate,/əˈpriːʃieɪt/,v,"đánh giá cao, cảm kích",We would appreciate you letting us know of any problems.,Chúng tôi sẽ đánh giá cao việc bạn cho chúng tôi biết về bất kỳ vấn đề nào.,https://audio.tudienkala.com/data/images_example/300x225/y/o/your_suppo_ex1_56248cfa7f8b9afa0cb17cbc.jpg,https://audio.tudienkala.com/audio/a/p/appreciate.mp3
124,assess,/ə'ses/,v,"đánh giá, ước lượng",The insurance rate Mr. Victor was assessed went up this year after he admitted that he had started smoking again.,Mức phí bảo hiểm mà ông Victor được định giá tăng lên sau khi ông thú nhận đã bắt đầu hút thuốc trở lại.,https://audio.tudienkala.com/data/cache/images/300x225/a/s/assess1.png,https://audio.tudienkala.com/audio/a/s/assess.mp3
124,assist,/ə'sist/,v,"giúp đỡ, có mặt",Bonnie hired a secretary to assist her with the many details of the event.,Bonnie đã thuê một thư ký để trợ giúp cô về rất nhiều chi tiết của sự kiện.,https://audio.tudienkala.com/data/cache/images/300x225/a/s/assist1.png,https://audio.tudienkala.com/audio/a/s/assist.mp3
124,available,/əˈveɪləbl/,adj,"có sẵn, sẵn sàng",This was the only room available.,Đây là căn phòng duy nhất có sẵn.,https://audio.tudienkala.com/data/images_example/300x225/t/h/this_was_t_ex1_56248d007f8b9afc0c298119.jpg,https://audio.tudienkala.com/audio/a/v/available.mp3
124,background,/'bækgraund/,n,"kiến thức, kinh nghiệm",Your background in the publishing industry is a definite asset for this job.,Kiến thức của anh trong công nghiệp xuất bản là một vốn quý rõ ràng cho công việc này.,https://audio.tudienkala.com/data/cache/images/300x225/b/a/background1.jpg,https://audio.tudienkala.com/audio/b/a/background.mp3
124,benefit,/'benifit/,n,lợi ích,The discovery of oil brought many benefits to the country.,Việc phát hiện ra dầu hỏa mang đến nhiều lợi ích cho đất nước đó.,https://audio.tudienkala.com/data/images_example/300x225/t/h/the_discov_ex1_56248d157f8b9a040dc65ecc.jpg,https://audio.tudienkala.com/audio/b/e/benefit.mp3
124,blue-chip,/bluː tʃɪp,adj,(Tài chính) đầu tư cổ phần chắc chắn,Which blue-chip company shares are best to invest?,Những cổ phiếu của công ty hàng đầu nào là đầu tư tốt nhất?,https://audio.tudienkala.com/data/cache/images/300x225/b/l/blue-chip1.jpg,https://audio.tudienkala.com/audio/b/l/blue-chip.mp3
124,budget,/ˈbʌdʒɪt/,n,"ngân sách, ngân quỹ",The company will have to prepare bigger budget for this department next year.,Công ty sẽ phải dự thảo ngân sách nhiều hơn cho bộ phận này vào năm sau.,https://audio.tudienkala.com/data/cache/images/300x225/b/u/budget1.jpg,https://audio.tudienkala.com/audio/b/u/budget.mp3
124,campaign,/kæmˈpeɪn/,n,chiến dịch,"In October, we decided to start a “Special Christmas Gifts” campaign.","Vào tháng 10, chúng tôi quyết định khởi động chiến dịch “Món quà Giáng sinh đặc biệt”.",https://audio.tudienkala.com/data/cache/images/300x225/c/a/campaign1.jpg,https://audio.tudienkala.com/audio/c/a/campaign.mp3
124,candidate,/'kændidit/,n,"ứng cử viên, thí sinh, người dự tuyển",All of the candidates were ready for the competition.,Tất cả các ứng cử viên đã sẵn sàng cho cuộc thi.,https://audio.tudienkala.com/data/cache/images/300x225/c/a/candidate1.jpg,https://audio.tudienkala.com/audio/c/a/candidate.mp3
124,capable,/ˈkeɪpəbl/,adj,"có tài, có năng lực giỏi",The human brain is capable of recording over 86 million bits of information daily.,Bộ não con người có khả năng ghi lại được trên 86 triệu thông tin mỗi ngày.,https://audio.tudienkala.com/data/cache/images/300x225/c/a/capable1.jpg,https://audio.tudienkala.com/audio/c/a/capable.mp3
124,capital,/'kæpɪtl/,n,thủ đô,Paris is the capital of France.,Paris là thủ đô của Pháp.,https://audio.tudienkala.com/data/cache/images/300x225/c/a/capital1.jpeg,https://audio.tudienkala.com/audio/c/a/capital.mp3
